sampleA,sampleB,snp_distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hcw#1,CARE0097#1,5,-8.501635036,-6.673082073,-5.49709282,-4.679131044,-4.094589409,-3.672799954,-3.368191919,-3.149717144,-2.995877191,-2.891788799,-2.827144488,-2.794720988,-2.789321377,-2.807068503,-2.844958046,-2.900584342,-2.971971869,-3.057468236,-3.155672582,-3.265384931,-3.385568693
hcw#1,CARE0063#1,1,-7.074777001,-5.220747544,-4.045012808,-3.257127905,-2.735978013,-2.413058126,-2.242920945,-2.192165884,-2.234513729,-2.348447737,-2.516125006,-2.722937903,-2.957335666,-3.210638133,-3.476702273,-3.75143851,-4.03226624,-4.317614548,-4.606534158,-4.898433937,-5.19292069
hcw#1,hcw#23,2,-6.493550784,-4.785605041,-3.745069304,-3.078966608,-2.66333682,-2.426737501,-2.321090367,-2.31122491,-2.370534131,-2.478991373,-2.622004569,-2.789428701,-2.974535854,-3.173009444,-3.382096348,-3.599990417,-3.825437503,-4.057506064,-4.29546216,-4.538702742,-4.786718942
hcw#1,hcw#24,4,-7.49136698,-5.756818535,-4.674838147,-3.950306554,-3.457812839,-3.125735492,-2.907547241,-2.771419421,-2.695382953,-2.664426175,-2.66839094,-2.700371459,-2.755555389,-2.830450601,-2.92240563,-3.029325321,-3.149503272,-3.281519806,-3.42417598,-3.576447968,-3.737453733
hcw#1,CARE0063#2,2,-6.143773347,-4.507381518,-3.533609054,-2.928331522,-2.566386417,-2.375256555,-2.306175001,-2.323927809,-2.402639198,-2.523680817,-2.674199011,-2.845735378,-3.032916924,-3.232357582,-3.441863107,-3.659926258,-3.885437362,-4.117528739,-4.355492519,-4.598735555,-4.846752499
hcw#1,CARE0040#1,0,-7.423383743,-5.492302762,-4.243844818,-3.388547159,-2.806476899,-2.430509179,-2.216734599,-2.133345623,-2.155526901,-2.262831517,-2.437790519,-2.665230382,-2.932027399,-3.227106336,-3.541510336,-3.868396203,-4.202873281,-4.541690061,-4.882839047,-5.225167984,-5.568060233
hcw#1,CARE0118#1,4,-7.363886464,-5.659996642,-4.604904357,-3.902948872,-3.428402209,-3.10968278,-2.900712097,-2.770439288,-2.697813931,-2.668679602,-2.673539592,-2.705926165,-2.76128101,-2.836243317,-2.928223028,-3.035151263,-3.155332008,-3.287349408,-3.430005836,-3.582277895,-3.74328368
hcw#1,hcw#26,3,-6.835174232,-5.134450496,-4.093049231,-3.416533952,-2.979684431,-2.710334268,-2.560578477,-2.496540906,-2.493944479,-2.535691047,-2.610094784,-2.709369729,-2.828361625,-2.963588263,-3.112591447,-3.273539347,-3.444997559,-3.625800132,-3.814975081,-4.011698475,-4.215263758
hcw#1,hcw#27,4,-7.49136698,-5.756818535,-4.674838147,-3.950306554,-3.457812839,-3.125735492,-2.907547241,-2.771419421,-2.695382953,-2.664426175,-2.66839094,-2.700371459,-2.755555389,-2.830450601,-2.92240563,-3.029325321,-3.149503272,-3.281519806,-3.42417598,-3.576447968,-3.737453733
hcw#1,hcw#28,2,-5.801633855,-4.241572204,-3.337978632,-2.795304476,-2.48701009,-2.339547092,-2.303811734,-2.345186523,-2.439281705,-2.56948465,-2.72498465,-2.898999567,-3.087314086,-3.2872331,-3.496926207,-3.715058034,-3.940592723,-4.17269173,-4.410657844,-4.653901556,-4.901918687
